"Date","Price","Open","High","Low","Vol.","Change %"
"01-12-2024","199.59","208.27","210.66","198.16","19.54M","-4.50%"
"01-11-2024","209.00","209.00","209.77","207.53","55.33M","-2.13%"
"01-10-2024","213.54","233.49","234.47","209.70","44.82M","-8.18%"
"01-09-2024","232.56","222.85","243.56","222.81","45.04M","3.79%"
"01-08-2024","224.06","222.80","236.13","217.00","52.20M","1.66%"
"01-07-2024","220.40","194.40","223.46","191.55","37.76M","13.39%"
"01-06-2024","194.38","196.00","201.58","190.38","42.01M","-0.69%"
"01-05-2024","195.74","173.28","197.19","171.49","56.34M","14.09%"
"01-04-2024","171.56","196.55","196.58","170.46","59.49M","-13.17%"
"01-03-2024","197.59","198.90","209.61","191.55","45.03M","-0.64%"
"01-02-2024","198.86","195.34","200.80","181.16","51.93M","1.64%"
"01-01-2024","195.65","214.41","219.10","194.75","45.61M","-9.37%"
"01-12-2023","215.88","208.40","218.48","203.58","40.98M","3.40%"
"01-11-2023","208.78","178.48","208.96","177.00","47.17M","17.17%"
"01-10-2023","178.19","163.63","178.65","154.58","51.83M","8.36%"
"01-09-2023","164.45","182.49","183.53","158.17","44.08M","-9.30%"
"01-08-2023","181.32","190.75","192.35","172.55","39.27M","-4.72%"
"01-07-2023","190.31","193.40","200.81","179.21","49.70M","-1.87%"
"01-06-2023","193.94","184.19","195.30","184.15","47.69M","5.15%"
"01-05-2023","184.44","203.29","203.99","178.53","45.97M","-9.76%"
"01-04-2023","204.39","203.19","213.48","199.12","35.78M","0.02%"
"01-03-2023","204.34","196.52","207.65","189.37","50.46M","3.20%"
"01-02-2023","198.01","221.89","235.49","192.96","39.77M","-11.36%"
"01-01-2023","223.39","214.00","235.57","210.93","38.20M","5.44%"
"01-12-2022","211.86","224.42","227.97","205.76","36.49M","-4.24%"
"01-11-2022","221.25","209.41","225.44","199.14","41.00M","6.79%"
"01-10-2022","207.19","216.89","224.34","178.17","52.86M","-3.50%"
"01-09-2022","214.70","252.94","265.56","211.38","36.50M","-15.49%"
"01-08-2022","254.05","270.28","282.47","252.70","30.44M","-6.20%"
"01-07-2022","270.83","254.53","273.95","248.19","29.44M","5.96%"
"01-06-2022","255.59","256.13","271.09","232.12","55.29M","-0.21%"
"01-05-2022","256.13","241.38","262.56","222.02","40.78M","6.27%"
"01-04-2022","241.02","251.22","271.53","240.68","36.68M","-4.06%"
"01-03-2022","251.22","228.00","254.07","226.68","45.57M","10.73%"
"01-02-2022","226.87","251.07","254.47","220.00","36.25M","-9.79%"
"01-01-2022","251.50","292.37","292.55","233.67","47.71M","-14.02%"
"01-12-2021","292.50","263.98","294.40","258.51","36.40M","11.44%"
"01-11-2021","262.48","282.86","285.42","253.40","36.93M","-6.91%"
"01-10-2021","281.97","267.01","291.17","259.32","32.22M","6.24%"
"01-09-2021","265.41","292.85","303.72","265.27","34.50M","-9.16%"
"01-08-2021","292.17","283.50","292.73","275.00","26.12M","3.31%"
"01-07-2021","282.80","268.63","289.51","267.65","30.19M","4.69%"
"01-06-2021","270.14","256.64","274.81","254.95","34.18M","5.75%"
"01-05-2021","255.46","253.95","257.53","240.87","43.03M","0.27%"
"01-04-2021","254.77","240.06","255.28","237.01","35.04M","6.57%"
"01-03-2021","239.06","218.56","242.82","197.50","60.89M","10.61%"
"01-02-2021","216.13","229.17","237.98","216.02","35.06M","-4.94%"
"01-01-2021","227.36","226.07","234.14","210.66","49.13M","1.29%"
"01-12-2020","224.46","232.00","236.39","215.41","53.00M","-2.92%"
"01-11-2020","231.20","232.58","253.08","227.39","38.84M","0.67%"
"01-10-2020","229.65","242.19","247.78","226.50","38.72M","-5.00%"
"01-09-2020","241.73","248.44","268.66","234.97","46.18M","-2.98%"
"01-08-2020","249.15","259.00","262.40","242.18","27.48M","-4.68%"
"01-07-2020","261.39","259.32","272.20","253.15","31.18M","1.10%"
"01-06-2020","258.54","258.03","269.25","244.02","50.06M","0.14%"
"01-05-2020","258.17","233.24","259.47","223.83","39.52M","8.47%"
"01-04-2020","238.00","205.81","260.43","202.03","52.29M","9.30%"
"01-03-2020","217.75","229.03","251.97","174.32","77.34M","-3.99%"
"01-02-2020","226.80","232.98","258.62","218.03","40.00M","-2.13%"
"01-01-2020","231.74","229.68","239.99","221.62","31.30M","0.84%"
"01-12-2019","229.82","214.15","229.98","208.25","32.25M","7.38%"
"01-11-2019","214.03","219.15","219.76","202.91","33.18M","-1.86%"
"01-10-2019","218.08","220.70","231.21","210.03","35.89M","-1.38%"
"01-09-2019","221.13","230.60","242.00","212.50","41.81M","-3.94%"
"01-08-2019","230.19","210.11","231.77","208.49","34.12M","8.78%"
"01-07-2019","211.62","205.00","213.68","199.48","37.80M","3.51%"
"01-06-2019","204.45","208.86","218.79","203.62","38.68M","-2.07%"
"01-05-2019","208.77","194.95","210.25","188.53","34.18M","6.90%"
"01-04-2019","195.30","197.54","198.19","189.42","35.33M","-0.89%"
"01-03-2019","197.06","176.20","197.33","174.27","38.62M","11.87%"
"01-02-2019","176.15","173.15","178.69","168.88","34.87M","1.92%"
"01-01-2019","172.84","157.11","173.95","153.93","39.71M","9.26%"
"01-12-2018","158.19","165.02","168.58","150.66","45.71M","-3.83%"
"01-11-2018","164.49","156.54","167.09","149.24","45.14M","5.57%"
"01-10-2018","155.81","146.09","161.71","140.40","53.09M","7.23%"
"01-09-2018","145.30","148.73","149.60","143.30","26.88M","-2.56%"
"01-08-2018","149.12","147.67","151.92","147.19","31.33M","0.59%"
"01-07-2018","148.24","144.33","150.82","138.51","41.11M","2.82%"
"01-06-2018","144.17","138.20","145.00","136.03","46.09M","4.19%"
"01-05-2018","138.37","137.07","141.01","133.85","46.52M","1.47%"
"01-04-2018","136.36","145.73","146.99","133.53","51.17M","-6.18%"
"01-03-2018","145.34","139.00","150.12","132.02","56.05M","4.31%"
"01-02-2018","139.33","148.02","149.36","130.37","61.20M","-5.67%"
"01-01-2018","147.70","143.16","148.84","132.54","54.49M","3.53%"
"01-12-2017","142.67","144.22","145.60","138.52","39.88M","-0.88%"
"01-11-2017","143.93","144.25","155.28","140.23","44.45M","0.18%"
"01-10-2017","143.67","137.03","144.80","135.66","42.98M","5.11%"
"01-09-2017","136.68","148.33","148.33","133.74","47.17M","-7.68%"
"01-08-2017","148.05","136.23","148.71","135.51","32.48M","8.60%"
"01-07-2017","136.33","132.62","139.50","130.82","32.46M","3.03%"
"01-06-2017","132.32","131.95","136.29","125.24","38.45M","0.86%"
"01-05-2017","131.19","126.56","137.12","125.50","43.07M","4.17%"
"01-04-2017","125.94","121.43","126.36","120.44","44.70M","3.62%"
"01-03-2017","121.54","114.78","121.85","112.78","51.61M","5.88%"
"01-02-2017","114.79","103.60","115.69","102.91","41.93M","10.91%"
"01-01-2017","103.50","106.73","106.94","102.51","38.63M","-2.06%"
"01-12-2016","105.68","101.36","108.17","99.72","53.63M","3.33%"
"01-11-2016","102.27","117.19","117.46","100.41","72.53M","-12.73%"
"01-10-2016","117.19","112.90","118.09","106.04","45.93M","3.41%"
"01-09-2016","113.33","113.70","117.31","107.57","43.22M","-0.04%"
"01-08-2016","113.38","115.87","117.25","112.29","36.90M","-2.06%"
"01-07-2016","115.77","113.94","118.26","111.62","38.53M","1.90%"
"01-06-2016","113.61","105.46","113.63","104.87","41.79M","7.40%"
"01-05-2016","105.78","105.00","107.24","103.11","31.96M","0.86%"
"01-04-2016","104.88","101.93","106.75","101.87","40.21M","2.45%"
"01-03-2016","102.37","92.75","102.93","91.65","43.97M","11.03%"
"01-02-2016","92.20","93.60","93.90","83.07","57.10M","-2.27%"
"01-01-2016","94.34","96.29","98.75","86.21","52.98M","-2.69%"
"01-12-2015","96.95","99.50","101.24","92.88","43.22M","-2.45%"
"01-11-2015","99.38","102.81","104.12","96.00","33.65M","-2.79%"
"01-10-2015","102.23","87.95","102.62","87.23","46.40M","16.20%"
"01-09-2015","87.98","90.37","93.02","86.83","45.04M","-4.57%"
"01-08-2015","92.19","95.25","101.54","89.39","59.17M","-3.07%"
"01-07-2015","95.11","93.88","98.31","93.18","44.43M","1.95%"
"01-06-2015","93.29","92.70","97.06","91.99","51.57M","0.54%"
"01-05-2015","92.79","94.65","95.77","92.10","51.56M","-1.84%"
"01-04-2015","94.53","96.26","98.64","93.50","46.53M","0.40%"
"01-03-2015","94.15","98.81","99.89","93.21","59.20M","-5.03%"
"01-02-2015","99.14","96.95","100.80","94.05","73.21M","2.26%"
"01-01-2015","96.95","99.16","101.88","95.87","44.57M","-1.92%"
"01-12-2014","98.85","103.75","105.09","95.58","42.36M","-5.87%"